country_name,population_density,agricultural_land,land_area,armed_forces,birth_rate,capital_city,co2_emissions,cpi,fertility_rate,forested_area,gasoline_price,gdp,infant_mortality,largest_city,life_expectancy,minimum_wage,official_language,out_of_pocket_health_expenditure,population,population_labor_force,tax_revenue,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Tanzania,67,0.44800000000000000,947300,28000,0.36700000000000000,Dodoma,11973,187.43,4.89,0.516,0.87,63177068175.00,0.376,Dar es Salaam,0.65,0.09,Swahili,0.261,58005463,0.8340000000000000,0.115,0.43800000000000000,0.019800000000000000,20011885,-6.369028,34.888822
Thailand,137,0.433,513120,455000,0.10340000000000000,Bangkok,283763,113.27,1.53,0.322,0.71,543649976166.00,0.078,Bangkok,0.769,1.06,Thai,0.11800000000000000,69625582,0.6730000000000000,0.149,0.295,0.0075,35294600,15.870032,100.992541
East Timor,89,0.256,14874,2000,0.2942,Dili,495,145.38000000000000,4.02,0.45400000000000000,1.10,1673540300.00,0.39300000000000000,Dili,0.693,0.60,Portuguese,0.102,3500000,0.6730000000000000,0.25,0.17300000000000000,0.0455,400182,-8.874217,125.727539
Togo,152,0.7020000000000000,56785,10000,0.3311,Lom�,3000,113.3,4.32,0.031,0.71,5459979417.00,0.474,Lom�,0.608,0.34,French,0.51,8082366,0.7760000000000000,0.16900000000000000,0.48200000000000000,0.0204,3414638,8.619543,0.824782
Trinidad and Tobago,273,0.105,5128,4000,0.1294,Port of Spain,43868,141.75,1.73,0.46,0.54,24100202834.00,0.16400000000000000,Chaguanas,0.7340000000000000,2.25,English,0.373,1394973,0.6,0.195,0.405,0.0269,741944,10.691803,-61.222503
Tunisia,76,0.648,163610,48000,0.17560000000000000,Tunis,29937,155.33,2.2,0.068,0.73,38797709924.00,0.146,Tunis,0.765,0.47,Arabic,0.39800000000000000,11694719,0.461,0.21100000000000000,0.607,0.1602,8099061,33.886917,9.537499
Turkey,110,0.498,783562,512000,0.1603,Ankara,372725,234.44,2.07,0.154,1.42,754411708203.00,0.091,Istanbul,0.774,3.45,Turkish,0.16900000000000000,83429615,0.528,0.179,0.423,0.1349,63097818,38.963745,35.243322
Uganda,229,0.7190000000000000,241038,46000,0.3814,Kampala,5680,173.87,4.96,0.09700000000000000,0.94,34387229486.00,0.33800000000000000,Buganda,0.63,0.01,Swahili,0.405,44269594,0.703,0.11700000000000000,0.337,0.0184,10784516,1.373333,32.290275
Ukraine,75,0.7170000000000000,603550,297000,0.087,Kyiv,202250,281.66,1.3,0.16700000000000000,0.83,153781069118.00,0.075,Kyiv,0.716,0.84,Ukrainian,0.478,44385155,0.542,0.201,0.452,0.0888,30835699,48.379433,31.16558
United Kingdom,281,0.7170000000000000,243610,148000,0.11,London,379025,119.62,1.68,0.131,1.46,2827113184696.00,0.036000000000000000,London,0.813,10.13,English,0.14800000000000000,66834405,0.628,0.255,0.306,0.0385,55908316,55.378051,-3.435973
United States,36,0.444,9833517,1359000,0.11600000000000000,Washington D.C.,5006302,117.24,1.73,0.33900000000000000,0.71,21427700000000.00,0.056000000000000000,New York City,0.785,7.25,None,0.111,328239523,0.62,0.096,0.366,0.147,270663028,37.09024,-95.712891
Uruguay,20,0.826,176215,22000,0.1386,Montevideo,6766,202.92,1.97,0.107,1.50,56045912952.00,0.064,Montevideo,0.778,1.66,Spanish,0.162,3461734,0.64,0.201,0.418,0.0873,3303394,-32.522779,-55.765835
Vietnam,314,0.39300000000000000,331210,522000,0.1675,Hanoi,192668,163.52,2.05,0.48100000000000000,0.80,261921244843.00,0.165,Ho Chi Minh City,0.753,0.73,Vietnamese,0.435,96462106,0.774,0.191,0.376,0.020100000000000000,35332140,14.058324,108.277199
Zambia,25,0.321,752618,16000,0.3619,Lusaka,5141,212.31,4.63,0.652,1.40,23064722446.00,0.40400000000000000,Lusaka,0.635,0.24,English,0.275,17861030,0.746,0.162,0.156,0.1143,7871713,-13.133897,27.849332
